Date,Commit,File,Section,Lines,Change Type,Summary,Reason,Status
2026-05-09,0cd854d,sections/header.liquid,JSON-LD Organization sameAs,336-346,Modified,Skip blank social_*_link values; add LinkedIn and WhatsApp,Empty strings in sameAs flagged by SEO crawlers,Pushed to main
2026-05-11,e0c23a2,sections/featured-home-collection.liquid,Homepage product card loop,76-114,Added,Emit per-product schema.org Product JSON-LD (name/image/price/availability/brand/sku/url) with @id for dedup,Homepage product blocks were invisible to Google rich results and AI shopping agents; structured data unlocks rich product cards and lets assistants quote prices,Pushed to main
2026-05-11,7f0bbc1,sections/Breadcrumb.json,New section group file,1,Added,New section-group JSON that wraps the existing Breadcrumb section so the dormant `{% sections 'Breadcrumb' %}` call in theme.liquid finally renders sitewide,Theme.liquid:194 already called the section group but the JSON wrapper was missing — breadcrumbs only appeared on 4 templates that included them inline,Pushed to main
2026-05-11,7f0bbc1,sections/Breadcrumb.liquid,Inside breadcrumb container,381-411,Added,Append schema.org BreadcrumbList JSON-LD mirroring the visible Home > depth1 > depth2 > depth3 > current page hierarchy,SEO: structured data lets Google show breadcrumb rich results and helps crawlers/AI agents understand site hierarchy,Pushed to main
2026-05-11,7f0bbc1,"templates/{collection.json, collection.collection-new-design.json, collection.new-temp-2026.json, product.json}",Inline breadcrumb section entries,various,Removed,Strip inline Breadcrumb section + corresponding `order` entry from 4 templates that previously rendered breadcrumbs inline,Avoid double-rendering once the sitewide section group renders breadcrumbs above main content,Pushed to main
2026-05-11,a816cc2,layout/theme.liquid,Marketing/analytics deferred loader,179-188,Modified,Defer loadAll() out of the click/touchstart/keydown task via requestIdleCallback/setTimeout so the interaction's paint completes before analytics script tags are created,INP optimization: previously the first user interaction's reported latency included the analytics-loader work; deferring it removes that contribution,Pushed to main
2026-05-11,a816cc2,layout/theme.liquid,Homepage `<style>` block,51-58,Added,Add `content-visibility: auto` + `contain-intrinsic-size: 0 800px` to below-the-fold homepage sections (featured-home-collection / social-media-icons / dropshipping-section),INP/render perf: browser skips layout & paint for offscreen sections until they near the viewport,Pushed to main
2026-05-11,d449273,layout/theme.liquid,Work Sans Google Fonts URL,105 / 107,Modified,Change `&display=swap` to `&display=optional` so the browser keeps the system fallback font instead of swapping when Work Sans arrives,CLS fix: the swap caused a visible text reflow / layout shift on every first load. With `optional` the swap is skipped on slow connections (Work Sans loads silently for next visit),Pushed to main
2026-05-11,d449273,sections/utility-bar.liquid,Google Play / App Store images,17-33,Modified,Add explicit `width=135 height=40` and `decoding=async`; remove `loading=lazy` since these images are above the fold,CLS fix: lazy-loaded above-fold images with no dimensions caused the whole page below the utility bar to push down on load,Pushed to main
2026-05-11,d449273,sections/slideshow.liquid,LCP preload for mobile slideshow image,14-30,Modified,Change preload href from 750w → 550w (matches typical mobile DPR-adjusted viewport); drop the unused 1500w srcset entry,LCP fix: mobile devices were preloading a larger image than they need. Smaller image arrives faster → LCP drops,Pushed to main
2026-05-11,9b10711,snippets/card-product-coll.liquid,Quick-view and verified-brand badge images,30 / 68,Modified,Add explicit `width`/`height` and empty `alt=""` to the `view.png` and `verify.png` icons in product card; previously rendered on ~40 cards per homepage with no dimensions,CLS fix: 40 unsized lazy images was the single biggest contributor to layout shift on the homepage,Pushed to main
2026-05-11,9b10711,snippets/header-drawer.liquid,Mobile "just arrived" product thumbnails,391,Modified,Replace deprecated `img_url: '200x'` with `image_url: width: 200`; add `width=200 height=(computed from aspect_ratio)` and escape the alt text,CLS + correctness fix: 6 thumbnails in mobile menu drawer were rendering without dimensions,Pushed to main
2026-05-11,9b10711,layout/theme.liquid,Cart drawer / totals / discounts CSS block,109-122,Modified,Move cart-drawer + component-cart + component-totals + component-discounts to async-loading via media=print + onload; keep component-price render-blocking (used on cards above the fold); add noscript fallback,FCP/LCP fix: cart drawer is hidden until the user opens it. Render-blocking CSS for hidden UI is wasted work; making it async lets first paint happen sooner,Pushed to main
2026-05-11,9b10711,"sections/*.liquid, snippets/*.liquid (24 files)",Section stylesheet includes (duplicated CSS),various,Modified,"Convert `{{ 'X.css' | asset_url | stylesheet_tag }}` calls to async pattern (`<link media=print onload=...>` + noscript fallback) for the most-duplicated stylesheets: component-card, component-slider, section-collection-list, quantity-popover, custom-collection-list. 38 individual call sites converted across 24 files.",FCP/LCP fix: same CSS files were being included 3-6 times across multiple sections; each was render-blocking. Async-loading dedupes (browser caches) and removes the render block,Pushed to main
2026-05-11,368c4ce,layout/theme.liquid,Homepage `<style>` block - content-visibility selector + slideshow placeholder,51-63,Modified,"Fix the previously-broken content-visibility selector by switching from `[id^=shopify-section-X]` to `[id*=X]` (Shopify section IDs have a `template--{numeric}__` prefix that the starts-with selector missed). Reduce contain-intrinsic-size from 800px to 500px so blank placeholders are less visually noticeable. Add brand-red `background-color: #ec1a23` to the slideshow image wrapper so the LCP image-loading window shows brand color instead of black.",Visual + INP fix: previous selector was dead code (matched no elements); now content-visibility actually applies. Slideshow placeholder color reduces the perceived 'blank flash' during LCP image download.,Pushed to main
2026-05-11,b443bca,layout/theme.liquid,Critical inline CSS before async stylesheets,49-52,Added,"Add inline `cart-drawer { position: fixed; top: 0; left: 0 }` before any external stylesheet. Required because component-cart-drawer.css is now loaded async — without this, the cart-drawer element (rendered at the top of <body>) lays out as a block and reserves ~400px of empty space at the top of the page until the async CSS arrives.",Bugfix: the blank/white area the user saw at the top of the page during initial load was the cart-drawer element taking layout space due to default block flow before its async CSS arrived. Inline `position:fixed` removes it from flow immediately.,Pushed to main
2026-05-11,05545b8,layout/theme.liquid,Homepage `<style>` block - content-visibility + slideshow placeholder,53-67,Removed,"Revert the content-visibility and slideshow-placeholder CSS that was added in commit 368c4ce. The `[id*=featured_home_collection]` selector was too broad — it also matched each product card `<li>` element (whose IDs contain `featured_home_collection`), applying content-visibility:auto to every card and breaking their flex layout on mobile. The brand-red slideshow placeholder was overflowing the visible area during load and the user didn't want it.",Visual fix: revert the aggressive optimizations that were causing mobile card layout breakage and the unwanted full-viewport red flash during initial load. Preserves all the genuinely beneficial changes (JSON-LD / image dimensions / async cart CSS / cart-drawer position:fixed).,Pushed to main
2026-05-11,pending,layout/theme.liquid,Hreflang tags (sitewide head),49-50,Added,"Add `<link rel=alternate hreflang=en-IN href={{ canonical_url }}>` and `<link rel=alternate hreflang=x-default href={{ canonical_url }}>` after the canonical block. Applies to every page sitewide via the shared layout.",SEO: explicitly declares to Google that the site serves the Indian market in English. The x-default tag is the recommended fallback per Google's hreflang spec.,Pushed to main

